word;Happiness;Anger;Sadness;Fear;Disgust
abdykować;1.692;1.577;2.231;1.962;1.385
absurd;2.154;3.423;2.192;2.346;2.423
adiutant;1.963;1.481;1.519;1.667;1.333
administracja;1.731;3.385;2.192;2.577;2.654
adoptować;3.593;1.926;2.259;2.815;1.407
adresat;2.731;1.577;1.500;1.731;1.385
Adriatyk;3.778;1.259;1.370;1.852;1.111
adwentowy;3.370;1.815;1.963;1.481;1.667
adwokat;2.308;2.231;2.231;3.385;2.077
afekt;1.538;2.038;1.615;1.769;1.500
agent;1.615;2.577;1.500;2.808;2.346
agresywny;1.385;4.500;3.731;4.962;3.769
akademia;4.259;1.259;1.222;2.037;1.259
akademik;3.577;1.423;1.692;1.731;2.000
akcent;3.000;1.481;1.111;1.519;1.222
akceptować;4.769;1.769;1.654;2.115;1.923
akcja;3.846;1.692;1.500;2.615;1.346
akrobatyczny;3.407;1.407;1.556;2.296;1.556
aktywność;4.923;1.423;1.308;1.692;1.115
aktywny;4.846;1.923;1.654;1.885;1.577
akwarium;3.769;1.154;1.385;1.269;1.769
alarm;1.423;3.038;2.269;4.385;1.885
album;3.731;1.269;1.577;1.115;1.115
aleja;4.259;1.370;1.630;1.852;1.222
alkohol;3.407;2.889;3.037;3.037;2.889
alkoholik;1.308;5.385;5.346;4.846;5.231
altanka;4.923;1.115;1.692;1.154;1.115
altruistyczny;3.423;1.654;1.769;1.692;1.423
amatorski;2.115;1.846;1.500;1.769;1.615
ambasada;2.593;1.370;1.222;1.741;1.333
ambicja;4.115;2.000;1.538;2.462;1.538
ambitny;5.077;1.577;1.654;1.808;1.077
ambona;2.074;2.444;1.926;2.148;2.296
Ameryka;4.269;1.654;1.692;2.269;1.808
Amerykanin;3.519;1.889;1.630;1.481;1.630
ampułka;2.346;1.885;2.192;3.231;2.385
amulet;3.269;2.308;2.077;2.577;2.231
amunicja;1.500;2.346;1.885;3.769;2.115
anegdota;4.037;1.333;1.222;1.333;1.222
anioł;5.370;1.259;1.296;1.667;1.148
anomalia;1.500;2.615;2.731;3.615;2.308
anonim;1.846;2.192;1.654;3.115;1.885
anormalny;2.115;2.154;2.731;3.577;2.769
apatia;1.444;2.630;3.667;2.593;2.370
apatyczny;1.231;3.000;3.962;2.000;2.846
apetyt;4.000;1.769;1.615;1.269;1.231
aplauz;5.115;1.615;1.500;1.808;1.615
aprobować;3.769;1.769;1.385;1.923;1.385
aprobujący;3.885;1.385;1.231;1.462;1.308
archiwum;2.269;1.385;1.577;2.077;1.385
areszt;1.308;3.769;4.077;4.731;2.962
aresztować;1.269;4.192;3.885;4.692;2.577
armata;2.444;2.222;2.074;3.222;2.222
armia;2.346;2.731;2.962;4.077;2.154
